01|FLEETACTIV_GL_UBER_20190114_0001|FLEETACTIV|UBER|20190114|2700|2332930.98|2332930.98|
02|RECORD_NUMBER|ACCOUNTING_DATE|CURRENCY_CODE|COMPANY|COST_CENTER|ACCOUNT|PRODUCT_CODE|ENTERED_AMOUNT|DEBIT_CREDIT_INDICATOR|SOURCE|REFERENCE1|REFERENCE2|REFERENCE3|REFERENCE4|REFERENCE5|REFERENCE6|REFERENCE7|REFERENCE8|REFERENCE9|REFERENCE10|REFERENCE11|REFERENCE12|REFERENCE13|REFERENCE14|REFERENCE15|
03|1|20190102|ZAR|3010|0012963|7881806|0000000|474.00|C|FLEETACTIV||||||UBER|UBER|License Renewal - 0000087818|020422|Berry Bambela||||||
03|2|20190102|ZAR|3010|0012963|7212101|0000000|1149.43|C|FLEETACTIV||||||UBER|UBER|SETTLEMENT DISCOUNT|018520|MENONS AUTO CC||||||
03|3|20190102|ZAR|3010|0012963|7212101|0000000|1149.43|C|FLEETACTIV||||||UBER|UBER|SETTLEMENT DISCOUNT|018520|MENONS AUTO CC||||||
03|4|20190102|ZAR|3010|0012963|7212101|0000000|257.03|C|FLEETACTIV||||||UBER|UBER|SETTLEMENT DISCOUNT|020385|HYDE PARK TOYOTA||||||
03|5|20190102|ZAR|3010|0012963|7212101|0000000|257.03|C|FLEETACTIV||||||UBER|UBER|SETTLEMENT DISCOUNT|020385|HYDE PARK TOYOTA||||||
03|6|20190103|ZAR|3010|0012963|7212101|0000000|76.89|C|FLEETACTIV||||||UBER|UBER|SETTLEMENT DISCOUNT|016425|IMPERIAL FORD & MAZDA CAPE TOW||||||
03|7|20190103|ZAR|3010|0012963|7212101|0000000|76.89|C|FLEETACTIV||||||UBER|UBER|SETTLEMENT DISCOUNT|016425|IMPERIAL FORD & MAZDA CAPE TOW||||||
03|8|20190104|ZAR|3010|0012963|7212101|0000000|134.63|C|FLEETACTIV||||||UBER|UBER|SETTLEMENT DISCOUNT|001087|BARONS BRUMA||||||
03|9|20190104|ZAR|3010|0012963|7212101|0000000|134.63|C|FLEETACTIV||||||UBER|UBER|SETTLEMENT DISCOUNT|001087|BARONS BRUMA||||||
03|10|20190104|ZAR|3010|0012963|7212101|0000000|223.29|C|FLEETACTIV||||||UBER|UBER|SETTLEMENT DISCOUNT|006462|LINDSAY SAKER VW FOURWAYS||||||
03|11|20190104|ZAR|3010|0012963|7212101|0000000|223.29|C|FLEETACTIV||||||UBER|UBER|SETTLEMENT DISCOUNT|006462|LINDSAY SAKER VW FOURWAYS||||||
03|12|20190104|ZAR|3010|0012963|7212101|0000000|150.59|C|FLEETACTIV||||||UBER|UBER|SETTLEMENT DISCOUNT|006462|LINDSAY SAKER VW FOURWAYS||||||
03|13|20190104|ZAR|3010|0012963|7212101|0000000|150.59|C|FLEETACTIV||||||UBER|UBER|SETTLEMENT DISCOUNT|006462|LINDSAY SAKER VW FOURWAYS||||||
03|14|20190104|ZAR|3010|0012963|7212101|0000000|51.37|C|FLEETACTIV||||||UBER|UBER|SETTLEMENT DISCOUNT|006462|LINDSAY SAKER VW FOURWAYS||||||
03|15|20190104|ZAR|3010|0012963|7212101|0000000|51.37|C|FLEETACTIV||||||UBER|UBER|SETTLEMENT DISCOUNT|006462|LINDSAY SAKER VW FOURWAYS||||||
03|16|20190104|ZAR|3010|0012963|7212101|0000000|98.40|C|FLEETACTIV||||||UBER|UBER|SETTLEMENT DISCOUNT|006462|LINDSAY SAKER VW FOURWAYS||||||
03|17|20190104|ZAR|3010|0012963|7212101|0000000|98.40|C|FLEETACTIV||||||UBER|UBER|SETTLEMENT DISCOUNT|006462|LINDSAY SAKER VW FOURWAYS||||||
03|18|20190104|ZAR|3010|0012963|7212101|0000000|254.59|C|FLEETACTIV||||||UBER|UBER|SETTLEMENT DISCOUNT|011850|SUPA QUICK WITKOPPEN RD||||||
03|19|20190104|ZAR|3010|0012963|7212101|0000000|254.59|C|FLEETACTIV||||||UBER|UBER|SETTLEMENT DISCOUNT|011850|SUPA QUICK WITKOPPEN RD||||||
03|20|20190104|ZAR|3010|0012963|7212101|0000000|162.16|C|FLEETACTIV||||||UBER|UBER|SETTLEMENT DISCOUNT|017310|SUPA QUICK STRYDOM PARK||||||
03|21|20190104|ZAR|3010|0012963|7212101|0000000|162.16|C|FLEETACTIV||||||UBER|UBER|SETTLEMENT DISCOUNT|017310|SUPA QUICK STRYDOM PARK||||||
03|22|20190105|ZAR|3010|0012963|7212101|0000000|45.75|C|FLEETACTIV||||||UBER|UBER|SETTLEMENT DISCOUNT|001100|BARONS N1 CITY||||||
03|23|20190105|ZAR|3010|0012963|7212101|0000000|45.75|C|FLEETACTIV||||||UBER|UBER|SETTLEMENT DISCOUNT|001100|BARONS N1 CITY||||||
03|24|20190107|ZAR|3010|0012963|7212101|0000000|189.58|C|FLEETACTIV||||||UBER|UBER|SETTLEMENT DISCOUNT|019467|BMT AUTO SERVICE & REPAIR CEN||||||
03|25|20190107|ZAR|3010|0012963|7212101|0000000|189.58|C|FLEETACTIV||||||UBER|UBER|SETTLEMENT DISCOUNT|019467|BMT AUTO SERVICE & REPAIR CEN||||||
03|26|20190107|ZAR|3010|0012963|7212101|0000000|274.61|C|FLEETACTIV||||||UBER|UBER|SETTLEMENT DISCOUNT|005876|KILLARNEY TOYOTA HOUGHTON||||||
03|27|20190107|ZAR|3010|0012963|7212101|0000000|274.61|C|FLEETACTIV||||||UBER|UBER|SETTLEMENT DISCOUNT|005876|KILLARNEY TOYOTA HOUGHTON||||||
03|28|20190108|ZAR|3010|0012963|7212101|0000000|97.83|C|FLEETACTIV||||||UBER|UBER|SETTLEMENT DISCOUNT|005876|KILLARNEY TOYOTA HOUGHTON||||||
03|29|20190108|ZAR|3010|0012963|7212101|0000000|97.83|C|FLEETACTIV||||||UBER|UBER|SETTLEMENT DISCOUNT|005876|KILLARNEY TOYOTA HOUGHTON||||||
03|30|20190109|ZAR|3010|0012963|7212101|0000000|104.23|C|FLEETACTIV||||||UBER|UBER|SETTLEMENT DISCOUNT|001898|CAPE TOWN MULTIFRANCHISE||||||
03|31|20190109|ZAR|3010|0012963|7212101|0000000|104.23|C|FLEETACTIV||||||UBER|UBER|SETTLEMENT DISCOUNT|001898|CAPE TOWN MULTIFRANCHISE||||||
03|32|20190109|ZAR|3010|0012963|7212101|0000000|115.69|C|FLEETACTIV||||||UBER|UBER|SETTLEMENT DISCOUNT|010878|FIT & GO NORTHCLIFF||||||
03|33|20190109|ZAR|3010|0012963|7212101|0000000|115.69|C|FLEETACTIV||||||UBER|UBER|SETTLEMENT DISCOUNT|010878|FIT & GO NORTHCLIFF||||||
03|34|20190110|ZAR|3010|0012963|7212101|0000000|743.51|C|FLEETACTIV||||||UBER|UBER|SETTLEMENT DISCOUNT|001041|BARLOWORLD ARMSTRONG N1 CITY||||||
03|35|20190110|ZAR|3010|0012963|7212101|0000000|743.51|C|FLEETACTIV||||||UBER|UBER|SETTLEMENT DISCOUNT|001041|BARLOWORLD ARMSTRONG N1 CITY||||||
03|36|20190110|ZAR|3010|0012963|7212101|0000000|109.45|C|FLEETACTIV||||||UBER|UBER|SETTLEMENT DISCOUNT|017474|FURY ISUZU WOODMEAD||||||
03|37|20190110|ZAR|3010|0012963|7212101|0000000|109.45|C|FLEETACTIV||||||UBER|UBER|SETTLEMENT DISCOUNT|017474|FURY ISUZU WOODMEAD||||||
03|38|20190110|ZAR|3010|0012963|7212101|0000000|39.63|C|FLEETACTIV||||||UBER|UBER|SETTLEMENT DISCOUNT|W08992|TIGER WHEEL & TYRE (PTY) LTD||||||
03|39|20190110|ZAR|3010|0012963|7212101|0000000|39.63|C|FLEETACTIV||||||UBER|UBER|SETTLEMENT DISCOUNT|W08992|TIGER WHEEL & TYRE (PTY) LTD||||||
